,Coherence,Confidence,ReactionTime,SubResponse,TrueDirection,ACC,SubjectNumber
169,12.8,6,830,180,180,1,1
170,3.2,6,2010,0,0,1,1
171,1.6,4,5026,180,0,0,1
172,25.6,6,829,180,180,1,1
173,12.8,6,1377,180,180,1,1
174,6.4,6,2006,180,180,1,1
175,25.6,6,663,0,0,1,1
176,3.2,2,4200,0,0,1,1
177,25.6,6,730,180,180,1,1
178,25.6,6,608,0,0,1,1
179,3.2,6,977,0,0,1,1
180,3.2,6,642,180,0,0,1
181,12.8,6,651,0,0,1,1
182,1.6,5,569,180,0,0,1
183,1.6,6,1140,180,0,0,1
184,3.2,6,2712,0,0,1,1
185,25.6,6,705,0,0,1,1
186,6.4,6,640,180,0,0,1
187,3.2,6,1226,0,0,1,1
188,25.6,6,1357,0,0,1,1
189,25.6,6,572,180,180,1,1
190,12.8,6,1612,180,180,1,1
191,1.6,5,3903,180,0,0,1
192,1.6,5,4440,180,0,0,1
193,25.6,6,859,180,180,1,1
194,1.6,5,4745,180,180,1,1
195,3.2,6,782,0,0,1,1
196,25.6,6,630,0,0,1,1
197,12.8,6,1124,180,180,1,1
198,25.6,6,723,180,180,1,1
199,25.6,6,567,0,0,1,1
200,3.2,6,1512,0,0,1,2
201,1.6,3,1844,180,180,1,2
202,1.6,5,949,180,0,0,2
203,12.8,5,660,0,0,1,2
204,1.6,3,3167,0,180,0,2
205,3.2,5,1267,0,0,1,2
206,3.2,6,634,180,0,0,2
207,12.8,6,875,180,180,1,2
208,6.4,6,977,180,180,1,2
209,1.6,5,2085,0,0,1,2
210,1.6,3,3889,180,180,1,2
211,6.4,5,717,0,0,1,2
212,12.8,6,776,180,180,1,2
213,25.6,6,949,0,0,1,2
214,1.6,6,742,180,0,0,2
215,25.6,6,624,0,0,1,2
216,12.8,6,688,180,180,1,2
217,1.6,2,2965,0,0,1,2
218,12.8,6,964,0,0,1,2
219,1.6,1,4280,180,0,0,2
220,6.4,4,2242,0,0,1,2
221,25.6,6,733,180,180,1,2
222,12.8,6,1244,180,180,1,2
223,25.6,6,809,180,180,1,2
224,1.6,2,3948,0,180,0,2
225,3.2,5,1293,180,180,1,2
226,6.4,5,1769,180,180,1,2
227,1.6,1,4772,180,180,1,2
228,12.8,5,1021,180,180,1,2
229,12.8,6,2066,180,180,1,2
230,3.2,4,1285,0,0,1,2
231,12.8,6,911,180,180,1,2
232,1.6,3,2834,180,180,1,2
233,6.4,5,1424,0,0,1,2
234,3.2,5,4218,180,180,1,2
235,6.4,5,2720,180,180,1,2
236,12.8,6,739,0,0,1,2
237,1.6,6,1302,0,0,1,2
238,6.4,5,1409,180,180,1,2
239,6.4,6,1046,180,180,1,2
240,12.8,6,1387,180,180,1,2
241,12.8,6,1353,180,180,1,2
242,6.4,6,3408,180,180,1,2
243,3.2,5,3033,180,0,0,2
244,6.4,6,861,180,180,1,2
245,3.2,5,1873,180,180,1,2
246,3.2,6,1158,0,0,1,2
247,3.2,6,1460,0,180,0,2
248,3.2,5,783,180,0,0,2
249,6.4,5,674,0,0,1,2
250,25.6,6,897,0,0,1,2
251,6.4,6,1126,0,0,1,2
252,6.4,6,776,180,180,1,2
253,3.2,6,576,0,180,0,2
254,3.2,6,1093,0,180,0,2
255,1.6,6,703,180,180,1,2
256,12.8,6,1132,180,180,1,2
257,25.6,6,603,0,0,1,2
258,1.6,6,1051,180,180,1,2
259,12.8,6,1477,180,180,1,2
260,12.8,6,651,0,0,1,2
261,1.6,6,755,180,180,1,2
262,1.6,5,2045,180,0,0,2
263,12.8,6,874,0,0,1,2
264,1.6,4,4295,180,0,0,2
265,1.6,5,1759,0,0,1,2
266,6.4,6,1257,0,0,1,2
267,3.2,3,4147,180,180,1,2
268,25.6,6,688,0,0,1,2
269,25.6,6,974,0,0,1,2
270,6.4,5,1256,180,180,1,2
271,3.2,6,1311,0,0,1,2
272,25.6,6,639,180,180,1,2
273,12.8,3,2278,180,0,0,2
274,25.6,6,588,0,0,1,2
275,1.6,4,1217,0,0,1,2
276,6.4,4,998,180,180,1,2
277,1.6,3,3605,180,180,1,2
278,1.6,3,3181,180,180,1,2
279,3.2,3,1811,0,0,1,2
280,6.4,1,5025,0,0,1,2
281,25.6,6,752,180,180,1,2
282,3.2,3,3373,0,0,1,2
283,3.2,4,1999,180,180,1,2
284,3.2,4,2231,180,180,1,2
285,25.6,6,823,180,180,1,2
286,12.8,6,1123,0,0,1,2
287,12.8,4,1435,0,0,1,2
288,12.8,5,1033,180,180,1,2
289,3.2,2,4072,180,0,0,2
290,25.6,6,737,180,180,1,2
291,1.6,3,1106,180,180,1,2
292,25.6,6,756,0,0,1,2
293,1.6,1,3821,0,0,1,2
294,3.2,2,3074,180,0,0,2
295,25.6,6,993,180,180,1,2
296,1.6,5,1536,0,0,1,2
297,6.4,5,1677,180,180,1,2
298,25.6,6,849,180,180,1,2
299,1.6,1,5023,0,0,1,2
300,3.2,5,1214,180,180,1,2
301,6.4,6,982,0,0,1,2
302,12.8,6,883,180,180,1,2
303,3.2,4,2127,180,180,1,2
304,25.6,6,718,0,0,1,2
305,6.4,5,1447,180,180,1,2
306,25.6,6,690,180,180,1,2
307,3.2,5,1469,180,180,1,2
308,3.2,3,837,180,180,1,2
309,3.2,6,993,180,180,1,2
310,3.2,3,2478,180,0,0,2
311,12.8,6,666,180,180,1,2
312,6.4,1,3660,0,0,1,2
313,25.6,6,795,0,0,1,2
314,25.6,6,636,0,0,1,2
315,6.4,5,1215,180,180,1,2
316,12.8,6,624,0,0,1,2
317,25.6,6,513,180,180,1,2
318,6.4,5,1344,180,180,1,2
319,12.8,6,693,0,0,1,2
320,1.6,6,1271,180,180,1,2
321,25.6,6,608,180,180,1,2
322,25.6,4,573,180,180,1,2
323,3.2,3,1410,0,0,1,2
324,25.6,6,685,180,180,1,2
325,3.2,2,2468,180,180,1,2
326,25.6,6,760,180,180,1,2
327,25.6,6,917,0,0,1,2
328,12.8,6,780,0,0,1,2
329,1.6,5,1352,180,0,0,2
330,1.6,3,2999,0,0,1,2
331,12.8,6,1356,0,0,1,2
332,1.6,5,4062,0,0,1,2
333,25.6,6,728,180,180,1,2
334,6.4,6,1580,180,180,1,2
335,6.4,6,1672,180,180,1,2
336,25.6,6,646,0,0,1,2
337,25.6,6,553,180,180,1,2
338,3.2,5,1656,180,180,1,2
339,6.4,5,1844,180,0,0,2
340,1.6,4,1631,180,180,1,2
341,6.4,5,656,0,0,1,2
342,12.8,6,671,180,180,1,2
343,1.6,6,1474,180,180,1,2
344,3.2,4,1844,180,0,0,2
345,25.6,6,1489,180,180,1,2
346,6.4,3,3267,0,180,0,2
347,12.8,6,988,180,180,1,2
348,12.8,5,2085,180,180,1,2
349,25.6,6,720,0,0,1,2
350,1.6,5,1242,0,0,1,2
351,6.4,5,1327,180,180,1,2
352,3.2,4,2081,180,180,1,2
353,3.2,2,2027,0,180,0,2
354,3.2,5,891,180,180,1,2
355,1.6,5,2450,180,180,1,2
356,25.6,6,639,0,0,1,2
357,1.6,2,2987,180,180,1,2
358,25.6,6,611,0,0,1,2
359,12.8,6,968,180,180,1,2
360,12.8,6,1032,180,180,1,2
361,3.2,2,2343,180,0,0,2
362,25.6,6,567,0,0,1,2
363,3.2,5,1278,0,0,1,2
364,25.6,6,772,180,180,1,2
365,12.8,6,558,0,0,1,2
366,12.8,6,795,0,0,1,2
367,12.8,6,1397,0,0,1,2
368,6.4,6,1437,0,0,1,2
369,1.6,6,1214,0,180,0,2
370,25.6,6,699,180,180,1,2
371,25.6,6,819,0,0,1,2
372,1.6,5,1410,180,0,0,2
373,6.4,6,1482,0,0,1,2
374,6.4,4,849,180,0,0,2
375,12.8,6,728,0,0,1,2
376,1.6,5,1894,180,180,1,2
377,12.8,6,577,0,0,1,2
378,25.6,6,688,0,0,1,2
379,12.8,6,1150,0,0,1,2
380,6.4,4,1482,0,0,1,2
381,6.4,5,947,180,180,1,2
382,1.6,3,2639,180,180,1,2
383,25.6,6,635,0,0,1,2
384,6.4,1,4744,0,0,1,2
385,3.2,2,1731,180,180,1,2
386,12.8,4,1312,180,180,1,2
387,12.8,6,619,0,0,1,2
388,6.4,4,1642,0,0,1,2
389,6.4,5,824,180,0,0,2
390,12.8,5,864,0,0,1,2
391,6.4,5,1638,180,180,1,2
392,6.4,3,4966,0,0,1,2
393,3.2,5,978,180,0,0,2
394,1.6,2,2342,180,0,0,2
395,1.6,1,4245,0,0,1,2
396,3.2,1,1819,0,0,1,2
397,6.4,3,1927,0,0,1,2
398,25.6,6,748,180,180,1,2
399,3.2,3,3294,180,0,0,2
400,25.6,6,884,180,180,1,3
401,1.6,2,1756,180,0,0,3
402,6.4,1,2751,180,0,0,3
403,1.6,6,639,0,180,0,3
404,6.4,5,957,180,0,0,3
405,6.4,4,2139,0,0,1,3
406,3.2,4,1712,180,180,1,3
407,6.4,4,995,0,0,1,3
408,12.8,5,1221,0,0,1,3
409,1.6,5,927,180,180,1,3
410,6.4,5,1299,0,0,1,3
411,6.4,5,874,180,180,1,3
412,25.6,6,597,0,0,1,3
413,1.6,6,1632,0,0,1,3
414,6.4,6,772,0,0,1,3
415,6.4,5,1498,0,0,1,3
416,12.8,5,1055,180,180,1,3
417,3.2,6,1067,0,0,1,3
418,12.8,6,559,180,180,1,3
419,3.2,4,1704,180,0,0,3
420,1.6,3,3035,180,180,1,3
421,3.2,3,2200,180,180,1,3
422,25.6,6,707,0,0,1,3
423,6.4,6,1162,180,180,1,3
424,1.6,4,1860,0,0,1,3
425,6.4,5,2256,180,180,1,3
426,12.8,5,1677,180,180,1,3
427,1.6,4,1677,180,0,0,3
